Sales Order Number,Sales Document Type,Sales Order Line Item,Order Create Date,Requested Delivery Date,Sold-To Party,Sold-to Name,Customer Hierarchy ,Customer Hierarchy Level 6 Text,Customer Hierarchy Level 7 Text,Material,Material Descrption,Material Status Description,Plant Material Status Description,Auth Sell Flag Description,Plant,Order Quantity Sales Unit,Sales Unit of Measure
1076868746,ZOR,60,20251114,20251118,2004510708,7-ELEVEN 45367 SPWY,1000007582.0,7-ELEVEN ENTERPRISE,SPEEDWAY,300008760,STRBK FRP PMNTMOCH GB 13.7OZ 1P12C LSE,Material Active,Material Active,No,1060,3,CS
1076868746,ZOR,180,20251114,20251118,2004510708,7-ELEVEN 45367 SPWY,1000007582.0,7-ELEVEN ENTERPRISE,SPEEDWAY,300039949,CELSIUS LF SPSTBWM CN 12OZ1P12C SLK GXYV,Material Active,Material Active,No,1060,1,CS
1076868776,ZOR,150,20251114,20251118,2000896834,7-ELEVEN #21882 FRAN,1000007582.0,7-ELEVEN ENTERPRISE,7-ELEVEN LEGACY,300051154,MTN DEW ZS TRLICHRLEM PET 20OZ 1P24C,Material Active,Material Active,No,1465,1,CS
1076868786,ZOR,280,20251114,20251118,2001178345,7-ELEVEN DIST #27837,1000007582.0,7-ELEVEN ENTERPRISE,7-ELEVEN LEGACY,300044970,GAT LEMLMOR PET 28OZ 1PK 15CS,Material Active,Material Active,No,1370,1,CS
1076868786,ZOR,280,20251114,20251118,2001178345,7-ELEVEN DIST #27837,1000007582.0,7-ELEVEN ENTERPRISE,7-ELEVEN LEGACY,300049053,GAT LEMLMOR PET 28OZ 1PK 15CS DRP ONLY,Material Active,Material Inactive,No,1370,1,CS
1076868839,ZOR,80,20251114,20251118,2000567714,7-ELEVEN #41620,1000007582.0,7-ELEVEN ENTERPRISE,7-ELEVEN LEGACY,300005842,CAN DRY GNGRALE PET 20OZ 1P24C,Material Active,Material Inactive,No,1158,1,CS
1076868839,ZOR,80,20251114,20251118,2000567714,7-ELEVEN #41620,1000007582.0,7-ELEVEN ENTERPRISE,7-ELEVEN LEGACY,300011096,CAN DRY GNGRALE PET 20OZ 1P24C S,Material Active,Material Inactive,No,1158,1,CS
1076868857,ZOR,70,20251114,20251118,2000714378,7-ELEVEN DIST 33373,1000007582.0,7-ELEVEN ENTERPRISE,7-ELEVEN LEGACY,300051104,MTN DEW ZS TRLICHRLEM PET 20OZ 1P24C S,Material Active,Material Active,No,1033,1,CS
1076868857,ZOR,80,20251114,20251118,2000714378,7-ELEVEN DIST 33373,1000007582.0,7-ELEVEN ENTERPRISE,7-ELEVEN LEGACY,300056774,POPPI CNBYFZ CAN 12OZ 1P12C,Material Active,Material Active,No,1033,1,CS
1076868857,ZOR,130,20251114,20251118,2000714378,7-ELEVEN DIST 33373,1000007582.0,7-ELEVEN ENTERPRISE,7-ELEVEN LEGACY,300034495,CELSIUS LIVE FT PR CAN 12OZ 1P 12C SLK,Material Active,Material Active,No,1033,1,CS
